교과목,교수명,수업형태,시간,장소,학점,영역,구분,
나만의스토리:퍼스널브랜딩,최금진,오프라인,"화(7),목(8,9)", 42-304 ,3,제3영역:인간과사회,공통,
인구교육의이론과실제,김영식,오프라인,"화(5),목(8,9)", 13-202 ,3,제3영역:인간과사회,공통,
배움의역사,최금진,오프라인,"목(1,2)", 13-103 ,2,제3영역:인간과사회,공통,
예술과글쓰기,박인영,오프라인,"금(3,4)", 09-411 ,2,제1영역:문화와예술,공통,
사회과학글쓰기,유호근,오프라인,"목(5,6)", 20-137 ,2,제3영역:인간과사회,공통,
이공계를위한글쓰기,염효영,오프라인,"목(8,9)", 09-307 ,2,제4영역:과학과기술,공통,
금융자산관리의이해,곽세영,오프라인,"월(1,2,3)", 13-303 ,3,일반영역,공통,
RC재활필라테스,김민진,오프라인,"월(11,12)", 08-420 ,2,일반영역,공통,
RC자기계발과리더십,최금진,오프라인,"화(11,12)", 43-011A,2,일반영역,공통,
영화와사회,박인영,오프라인,"목(8,9)", 13-101 ,2,제1영역:문화와예술,공통,
영화로읽는문학,함은경,오프라인,"금(3,4)", 13-201 ,2,제1영역:문화와예술,공통,
시민교육과동서양문학의이해,김선영,오프라인,"화(5),목(3,4)", 13-201 ,3,제3영역:인간과사회,공통,
현대매체철학의이해,김성일,온오프병행,"월(3,4)", 09-312 ,2,제3영역:인간과사회,공통,
금융과공학의만남,고석빈,오프라인,"월(8,9)", 13-302 ,2,제4영역:과학과기술,공통,
인문사회학생을위한통계학,고석빈,오프라인,"금(1,2)", 13-101 ,2,제4영역:과학과기술,공통,
비주얼감성코딩,김시정,오프라인,"월(8,9)", 42-103 ,2,제6영역:SW영역,공통,
인공지능을위한코딩,이성현,오프라인,"목(8,9)", 42-107C,2,제6영역:SW영역,공통,
"청주학Ⅱ［학이시습,인물을만나다Ⅱ］",황경수,오프라인,"목(8,9)", 13-403 ,2,일반영역,공통,
글로컬비즈니스영어,김미진,오프라인,"월(3,4)", 09-307 ,2,일반영역,공통,
TED ED로배우는영어토론,캐시하인즈,오프라인,"수(4,5)", 20-229 ,2,일반영역,공통,
영화로이해하는중국,이시찬,오프라인,"수(5,6)", 13-301 ,2,제1영역:문화와예술,공통,
비즈니스매너와글로벌에티켓,김영식,오프라인,"월(3,4)", 13-301 ,2,일반영역,공통,
글로벌공동체론,심은진,온오프병행,"화(6,7)", 42-204 ,2,제3영역:인간과사회,공통,
일본문화의이해,권영성,오프라인,"월(5,6),수(7)", 13-401 ,3,제1영역:문화와예술,공통,
인간행동심리와리더십,임정섭,오프라인,"수(8,9)", 13-201 ,2,제3영역:인간과사회,공통,
판결중심의법이해하기,윤기택,오프라인,"화(1,2),목(6)", 13-403 ,3,제3영역:인간과사회,공통,
우주와천문학,염태호,오프라인,"화(5,6)", 13-102 ,2,제4영역:과학과기술,공통,
생활화학과문제해결,이헌,오프라인,"금(3,4)", 09-307 ,2,제4영역:과학과기술,공통,
파생상품이야기,박준우,오프라인,"월(5),목(8,9)", 13-302 ,3,일반영역,공통,
메타버스와혁명,정근훈,오프라인,"금(6,7)", 13-102 ,2,제6영역:SW영역,공통,
블록체인과가상화폐,정근훈,오프라인,"금(8,9)", 13-102 ,2,제6영역:SW영역,공통,
비즈니스머신러닝,이원준,오프라인,"월(8,9)", 42-307 ,2,제6영역:SW영역,공통,
이미지메이킹과브랜딩전략,이윤정,오프라인,"화(3,4)", 13-101 ,2,일반영역,공통,
러시아문학과사상,이영범,오프라인,"화(5,6)", 13-402 ,2,제1영역:문화와예술,공통,
인공지능의이해,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
인공지능의이해,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
자기주도적학습을위한러닝포트폴리오,최금진,오프라인,"목(5,6)", 20-325 ,2,일반영역,공통,
문자디자인(타이포그래피)의이해와소통,이종선,오프라인,"수(1,2)", 13-101 ,2,제1영역:문화와예술,공통,
문명과수학,김인경,오프라인,"금(3,4)", 13-202 ,2,제4영역:과학과기술,공통,
ESG경영이해,이창언,오프라인,"수(5,6)", 13-401 ,2,제5영역:정치와경제,공통,
서양문학의이해,김성일,온오프병행,"월(8,9),목(4)", 09-312 ,3,제1영역:문화와예술,공통,
글로벌인재를위한세계사강의,이시찬,오프라인,"목(8,9)", 13-201 ,2,제2영역:역사와철학,공통,
CLAP3,이종선,오프라인,"수(8,9)", 42-207 ,2,제3영역:인간과사회,공통,
미래사회와소프트웨어,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
미래사회와소프트웨어,김시정,온라인(동영상콘텐츠),(온라인),(온라인),2,제6영역:SW영역,공통,
세상을연결하는컴퓨터네트워크,김봉한,온라인(동영상콘텐츠),(온라인),(온라인),2,제4영역:과학과기술,공통,
세상을연결하는컴퓨터네트워크,김봉한,온라인(동영상콘텐츠),(온라인),(온라인),2,제4영역:과학과기술,공통,
일본인의삶,권영성,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
일본인의삶,권영성,온라인(동영상콘텐츠),(온라인),(온라인),2,일반영역,공통,
이문화의이해,김선영,오프라인,"목(8,9)", 13-303 ,2,제1영역:문화와예술,공통,
서양신화와문명의이해,김성일,오프라인,"수(3,4)", 13-301 ,2,제1영역:문화와예술,공통,
한국전통문화와예절,도민재,오프라인,"월(8,9)", 13-203 ,2,제1영역:문화와예술,공통,
한국의민속과예술,소인호,오프라인,"화(1,2)", 13-303 ,2,제1영역:문화와예술,공통,
행복학개론,박준우,오프라인,"금(1,2)", 13-501 ,2,제3영역:인간과사회,공통,
ESG와공공담론,조한상,오프라인,"월(3,4)", 13-102 ,2,제5영역:정치와경제,공통,
RC실전동영상편집,홍민희,오프라인,"목(11,12)", 31-213,2,일반영역,공통,
충북특화산업의수출과세계화,이재영,오프라인,"수(8,9)", 13-302,2,제5영역:정치와경제,공통,
